ポストURL,いいね数,RT数,インプ数,投稿者名,投稿テキスト,投稿日時,画像,収集日時
https://x.com/momo_fukuen/status/2034919625020850220,182,10,10736,もも｜回避型彼氏と復縁,振られても「やっぱり彼がいい」って思ったのは欠点すら愛おしいと思えたから。回避型だろうがなんだろうが、私が見てきた不器用だけど優しい彼を信じようと思った。復縁して2年以上経つけど、自分の気持ちを大切にしてよかった。「彼がいい」って気持ちが少しでもあるなら絶対に諦めない方がいいよ。,3月20日,,3月21日
https://x.com/momo_fukuen/status/2034989436753387893,32,1,1329,もも｜回避型彼氏と復縁,別れ際の元彼の言葉なんてほんとに真に受けなくていい。「復縁はない」「一生会わない」なんて、あなたを突き放すための大嘘だよ。私も復縁してわかったけど、あれは男が自分の心を守るための精一杯の虚勢。やり方次第でいくらでもひっくり返せる。別れの言葉に絶望して復縁を諦めなくていいからね。,3月20日,,3月21日
https://x.com/momo_fukuen/status/1986447863791124618,70,4,132391,もも｜回避型彼氏と復縁,"【回避型の彼と1ヶ月で復縁した方法】

長い冷却期間も自分磨きもいりません。
復縁に本当に必要なのは、『回避型の心理を理解した行動』です。

「復縁は100%ない」と振られた私が、彼の心を取り戻した方法を大公開してます。

本気の方はぜひ読んでみてください",11月6日,,3月21日
https://x.com/momo_fukuen/status/2034605204432384191,502,8,59938,もも｜回避型彼氏と復縁,男が本命との別れを決めるとき「冷めた」より『ちゃんと愛せない自分が嫌になった』が9割。本気で好きだから期待に応えられないことに傷つく。彼女が不安な顔をするたびに自信をなくしていくんだよね。だから逃げるように別れを選ぶけど別れた後も強烈な罪悪感と後悔が残り続ける。私も振られる直前、,3月19日,,3月21日
https://x.com/momo_fukuen/status/2034747238967386279,22,1,765,もも｜回避型彼氏と復縁,断言するけど『素直な女の子』が嫌いな男はいない。復縁したいと思ってる時点で好意を隠すのは100%無理だし、変に駆け引きして「めんどくさい」って思われるくらいなら自分が後悔しないためにも素直でいたい。私は「元彼大好き！絶対復縁する！」って開き直ってたら復縁できた。素直な女の子は最強。,3月20日,,3月21日
https://x.com/momo_fukuen/status/2034462025947226520,24,1,3594,もも｜回避型彼氏と復縁,復縁率が圧倒的に高い。ただ厄介なのが、回避型は自己肯定感がかなり低いってこと。「彼女は俺と一緒にいない方が幸せだろう」って本気で思ってるから、冷却期間を置いても絶対に戻ってこない。逆に数ヶ月も距離を置いたら「別れて正解だった」「今さら戻れない」って確信する。だからこそ早い段階で、,3月19日,,3月21日
https://x.com/momo_fukuen/status/2034462023573217468,181,6,22151,もも｜回避型彼氏と復縁,回避型が深く愛した人にだけ見せる反応、それは『理由も告げずに去る』こと。これって男性特有の「言わない愛」なんだと思う。理由を言ったら、彼女がますます無理して頑張るってわかってるんだよね。大切だから何も言わずに距離を置いて本命彼女を守ろうとするの。だから回避モードで別れた時は、,3月19日,,3月21日
https://x.com/momo_fukuen/status/2034268837244444822,69,0,6322,もも｜回避型彼氏と復縁,元彼に「返信は無理しなくていいよ」って伝えるのは絶対にNG。これ言うと男は普通に「無理しない」を選ぶんだよね。私も付き合ってる時にこれ言ったせいで既読スルーされまくっただから復縁活動中は思ってないこと言わないって決めた。女の子はまっすぐな方が可愛いし遠慮しない方が絶対うまくいく,3月18日,,3月21日
https://x.com/momo_fukuen/status/2034190571288576207,90,0,9610,もも｜回避型彼氏と復縁,本命相手ほどLINEスルーするのが回避型の特徴。適当な相手には何も考えず即レスできるけど、好きな子には「ちゃんと返さなきゃ」ってプレッシャーで固まっちゃう。私の彼いわく「軽く扱いたくないから慎重になりすぎる」らしい。既読無視は嫌われてるんじゃなくて大事にされてる証拠だったんだよね。,3月18日,,3月21日
https://x.com/momo_fukuen/status/2034098203654820066,72,1,13004,もも｜回避型彼氏と復縁,「あっさり前に進む子を追いかけるのなんて自信あってメンタル強い男くらいでしょ。ほとんどの男は一途な子に愛感じて戻りたくなる」って。だから冷却期間を長く取りすぎると復縁率がどんどん下がるんだよね。放置だと情も気持ちが冷める一方だから。進展しないのは冷却期間が足りないからじゃなくて、,3月18日,,3月21日
